date,usage
2015-01-01,40
2015-01-02,83
2015-01-03,40
2015-01-04,60
2015-01-05,110
2015-01-06,51
2015-01-07,53
2015-01-08,57
2015-01-09,54
2015-01-10,50
2015-01-11,81
2015-01-12,59
2015-01-13,93
2015-01-14,94
2015-01-15,102
2015-01-16,92
2015-01-17,89
2015-01-18,11
2015-01-19,91
2015-01-20,127
2015-01-21,83
2015-01-22,124
2015-01-23,103
2015-01-24,51
2015-01-25,96
2015-01-26,27
2015-01-27,14
2015-01-28,37
2015-01-29,68
2015-01-30,72
2015-01-31,50
2015-02-01,65
2015-02-02,12
2015-02-03,23
2015-02-04,64
2015-02-05,53
2015-02-06,56
2015-02-07,69
2015-02-08,76
2015-02-09,33
2015-02-10,64
2015-02-11,94
2015-02-12,91
2015-02-13,57
2015-02-14,54
2015-02-15,22
2015-02-16,23
2015-02-17,33
2015-02-18,74
2015-02-19,53
2015-02-20,44
2015-02-21,23
2015-02-22,41
2015-02-23,46
2015-02-24,38
2015-02-25,70
2015-02-26,66
2015-02-27,67
2015-02-28,58
2015-03-01,26
2015-03-02,49
2015-03-03,41
2015-03-04,58
2015-03-05,8
2015-03-06,33
2015-03-07,61
2015-03-08,76
2015-03-09,94
2015-03-10,73
2015-03-11,135
2015-03-12,122
2015-03-13,130
2015-03-14,29
2015-03-15,61
2015-03-16,129
2015-03-17,79
2015-03-18,79
2015-03-19,123
2015-03-20,43
2015-03-21,88
2015-03-22,71
2015-03-23,102
2015-03-24,93
2015-03-25,108
2015-03-26,82
2015-03-27,90
2015-03-28,10
2015-03-29,98
2015-03-30,117
2015-03-31,89
2015-04-01,94
2015-04-02,163
2015-04-03,99
2015-04-04,136
2015-04-05,123
2015-04-06,161
2015-04-07,117
2015-04-08,128
2015-04-09,115
2015-04-10,106
2015-04-11,161
2015-04-12,145
2015-04-13,180
2015-04-14,162
2015-04-15,191
2015-04-16,201
2015-04-17,180
2015-04-18,197
2015-04-19,162
2015-04-20,78
2015-04-21,186
2015-04-22,144
2015-04-23,180
2015-04-24,162
2015-04-25,208
2015-04-26,181
2015-04-27,209
2015-04-28,255
2015-04-29,276
2015-04-30,259
2015-05-01,217
2015-05-02,206
2015-05-03,231
2015-05-04,274
2015-05-05,261
2015-05-06,252
2015-05-07,293
2015-05-08,265
2015-05-09,211
2015-05-10,217
2015-05-11,252
2015-05-12,286
2015-05-13,253
2015-05-14,329
2015-05-15,253
2015-05-16,182
2015-05-17,251
2015-05-18,235
2015-05-19,264
2015-05-20,264
2015-05-21,226
2015-05-22,211
2015-05-23,210
2015-05-24,141
2015-05-25,191
2015-05-26,273
2015-05-27,242
2015-05-28,266
2015-05-29,276
2015-05-30,264
2015-05-31,138
2015-06-01,124
2015-06-02,83
2015-06-03,260
2015-06-04,232
2015-06-05,221
2015-06-06,228
2015-06-07,229
2015-06-08,248
2015-06-09,295
2015-06-10,289
2015-06-11,288
2015-06-12,271
2015-06-13,233
2015-06-14,206
2015-06-15,196
2015-06-16,268
2015-06-17,265
2015-06-18,258
2015-06-19,251
2015-06-20,187
2015-06-21,216
2015-06-22,256
2015-06-23,215
2015-06-24,313
2015-06-25,309
2015-06-26,319
2015-06-27,156
2015-06-28,194
2015-06-29,266
2015-06-30,281
2015-07-01,269
2015-07-02,224
2015-07-03,165
2015-07-04,116
2015-07-05,197
2015-07-06,245
2015-07-07,252
2015-07-08,272
2015-07-09,213
2015-07-10,262
2015-07-11,242
2015-07-12,260
2015-07-13,273
2015-07-14,278
2015-07-15,238
2015-07-16,302
2015-07-17,276
2015-07-18,262
2015-07-19,219
2015-07-20,265
2015-07-21,265
2015-07-22,339
2015-07-23,304
2015-07-24,305
2015-07-25,245
2015-07-26,255
2015-07-27,277
2015-07-28,326
2015-07-29,290
2015-07-30,236
2015-07-31,263
2015-08-01,231
2015-08-02,251
2015-08-03,286
2015-08-04,300
2015-08-05,277
2015-08-06,272
2015-08-07,296
2015-08-08,242
2015-08-09,262
2015-08-10,246
2015-08-11,202
2015-08-12,301
2015-08-13,288
2015-08-14,258
2015-08-15,223
2015-08-16,220
2015-08-17,240
2015-08-18,287
2015-08-19,294
2015-08-20,295
2015-08-21,282
2015-08-22,241
2015-08-23,246
2015-08-24,307
2015-08-25,292
2015-08-26,308
2015-08-27,336
2015-08-28,297
2015-08-29,260
2015-08-30,231
2015-08-31,297
2015-09-01,325
2015-09-02,291
2015-09-03,244
2015-09-04,226
2015-09-05,188
2015-09-06,174
2015-09-07,207
2015-09-08,291
2015-09-09,313
2015-09-10,119
2015-09-11,307
2015-09-12,239
2015-09-13,267
2015-09-14,302
2015-09-15,334
2015-09-16,324
2015-09-17,305
2015-09-18,327
2015-09-19,296
2015-09-20,267
2015-09-21,272
2015-09-22,311
2015-09-23,339
2015-09-24,320
2015-09-25,323
2015-09-26,289
2015-09-27,253
2015-09-28,255
2015-09-29,290
2015-09-30,220
2015-10-01,185
2015-10-02,49
2015-10-03,128
2015-10-04,185
2015-10-05,262
2015-10-06,298
2015-10-07,286
2015-10-08,278
2015-10-09,226
2015-10-10,241
2015-10-11,241
2015-10-12,272
2015-10-13,271
2015-10-14,302
2015-10-15,271
2015-10-16,243
2015-10-17,215
2015-10-18,147
2015-10-19,198
2015-10-20,253
2015-10-21,313
2015-10-22,284
2015-10-23,247
2015-10-24,217
2015-10-25,217
2015-10-26,235
2015-10-27,244
2015-10-28,98
2015-10-29,250
2015-10-30,263
2015-10-31,202
2015-11-01,200
2015-11-02,264
2015-11-03,272
2015-11-04,320
2015-11-05,226
2015-11-06,293
2015-11-07,213
2015-11-08,199
2015-11-09,229
2015-11-10,122
2015-11-11,252
2015-11-12,207
2015-11-13,238
2015-11-14,175
2015-11-15,166
2015-11-16,250
2015-11-17,220
2015-11-18,226
2015-11-19,145
2015-11-20,196
2015-11-21,208
2015-11-22,161
2015-11-23,158
2015-11-24,186
2015-11-25,194
2015-11-26,73
2015-11-27,129
2015-11-28,111
2015-11-29,106
2015-11-30,162
2015-12-01,92
2015-12-02,159
2015-12-03,183
2015-12-04,204
2015-12-05,187
2015-12-06,165
2015-12-07,170
2015-12-08,206
2015-12-09,207
2015-12-10,240
2015-12-11,230
2015-12-12,193
2015-12-13,227
2015-12-14,190
2015-12-15,236
2015-12-16,204
2015-12-17,117
2015-12-18,188
2015-12-19,110
2015-12-20,133
2015-12-21,166
2015-12-22,128
2015-12-23,94
2015-12-24,94
2015-12-25,61
2015-12-26,87
2015-12-27,70
2015-12-28,116
2015-12-29,61
2015-12-30,110
2015-12-31,115
