,date,352
0,2015-01-01,29
1,2015-01-02,45
2,2015-01-03,22
3,2015-01-04,19
4,2015-01-05,71
5,2015-01-06,44
6,2015-01-07,44
7,2015-01-08,38
8,2015-01-09,26
9,2015-01-10,18
10,2015-01-11,20
11,2015-01-12,37
12,2015-01-13,50
13,2015-01-14,49
14,2015-01-15,48
15,2015-01-16,61
16,2015-01-17,24
17,2015-01-18,6
18,2015-01-19,38
19,2015-01-20,75
20,2015-01-21,62
21,2015-01-22,76
22,2015-01-23,69
23,2015-01-24,14
24,2015-01-25,30
25,2015-01-26,9
26,2015-01-27,0
27,2015-01-28,21
28,2015-01-29,32
29,2015-01-30,38
30,2015-01-31,15
31,2015-02-01,25
32,2015-02-02,3
33,2015-02-03,15
34,2015-02-04,21
35,2015-02-05,43
36,2015-02-06,35
37,2015-02-07,22
38,2015-02-08,22
39,2015-02-09,16
40,2015-02-10,55
41,2015-02-11,59
42,2015-02-12,55
43,2015-02-13,33
44,2015-02-14,14
45,2015-02-15,7
46,2015-02-16,18
47,2015-02-17,22
48,2015-02-18,39
49,2015-02-19,39
50,2015-02-20,22
51,2015-02-21,16
52,2015-02-22,17
53,2015-02-23,39
54,2015-02-24,10
55,2015-02-25,40
56,2015-02-26,0
57,2015-02-27,40
58,2015-02-28,22
59,2015-03-01,6
60,2015-03-02,8
61,2015-03-03,21
62,2015-03-04,40
63,2015-03-05,5
64,2015-03-06,16
65,2015-03-07,19
66,2015-03-08,26
67,2015-03-09,59
68,2015-03-10,36
69,2015-03-11,80
70,2015-03-12,81
71,2015-03-13,60
72,2015-03-14,10
73,2015-03-15,31
74,2015-03-16,69
75,2015-03-17,47
76,2015-03-18,43
77,2015-03-19,64
78,2015-03-20,20
79,2015-03-21,42
80,2015-03-22,37
81,2015-03-23,63
82,2015-03-24,75
83,2015-03-25,78
84,2015-03-26,61
85,2015-03-27,62
86,2015-03-28,1
87,2015-03-29,33
88,2015-03-30,75
89,2015-03-31,54
90,2015-04-01,96
91,2015-04-02,108
92,2015-04-03,46
93,2015-04-04,48
94,2015-04-05,65
95,2015-04-06,96
96,2015-04-07,76
97,2015-04-08,67
98,2015-04-09,85
99,2015-04-10,73
100,2015-04-11,57
101,2015-04-12,76
102,2015-04-13,75
103,2015-04-14,97
104,2015-04-15,96
105,2015-04-16,116
106,2015-04-17,101
107,2015-04-18,124
108,2015-04-19,63
109,2015-04-20,41
110,2015-04-21,92
111,2015-04-22,93
112,2015-04-23,87
113,2015-04-24,86
114,2015-04-25,72
115,2015-04-26,66
116,2015-04-27,114
117,2015-04-28,117
118,2015-04-29,122
119,2015-04-30,86
120,2015-05-01,117
121,2015-05-02,58
122,2015-05-03,111
123,2015-05-04,122
124,2015-05-05,125
125,2015-05-06,110
126,2015-05-07,129
127,2015-05-08,131
128,2015-05-09,1
129,2015-05-10,23
130,2015-05-11,127
131,2015-05-12,140
132,2015-05-13,134
133,2015-05-14,139
134,2015-05-15,150
135,2015-05-16,3
136,2015-05-17,15
137,2015-05-18,124
138,2015-05-19,140
139,2015-05-20,128
140,2015-05-21,146
141,2015-05-22,115
142,2015-05-23,62
143,2015-05-24,74
144,2015-05-25,89
145,2015-05-26,146
146,2015-05-27,118
147,2015-05-28,145
148,2015-05-29,161
149,2015-05-30,87
150,2015-05-31,2
151,2015-06-01,51
152,2015-06-02,56
153,2015-06-03,121
154,2015-06-04,103
155,2015-06-05,106
156,2015-06-06,61
157,2015-06-07,125
158,2015-06-08,123
159,2015-06-09,131
160,2015-06-10,138
161,2015-06-11,120
162,2015-06-12,131
163,2015-06-13,88
164,2015-06-14,110
165,2015-06-15,84
166,2015-06-16,104
167,2015-06-17,157
168,2015-06-18,140
169,2015-06-19,149
170,2015-06-20,70
171,2015-06-21,82
172,2015-06-22,142
173,2015-06-23,103
174,2015-06-24,138
175,2015-06-25,148
176,2015-06-26,124
177,2015-06-27,43
178,2015-06-28,68
179,2015-06-29,129
180,2015-06-30,123
181,2015-07-01,135
182,2015-07-02,135
183,2015-07-03,104
184,2015-07-04,79
185,2015-07-05,102
186,2015-07-06,114
187,2015-07-07,128
188,2015-07-08,116
