id,name,latitude,longitude,dep_count,dep_mean,dep_min,dep_max,dep_median,arr_count,arr_mean,arr_min,arr_max,arr_median,statusValue,totalDocks
72,W 52 St & 11 Ave,40.76727216,-73.99392888,27596,1050.92303232,60,21471,873.0,27341,1072.7021689,60,19853,914.0,In Service,39
79,Franklin St & W Broadway,40.71911552,-74.00666661,22775,835.898441273,60,21375,642.0,23166,795.345463179,60,20114,630.5,In Service,33
82,St James Pl & Pearl St,40.71117416,-74.00016545,9869,832.549194447,62,21125,524.0,9729,777.655771405,61,21237,538.0,In Service,27
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,11101,1096.07260607,60,20368,695.0,12151,1321.61978438,60,21231,853.0,In Service,62
116,W 17 St & 8 Ave,40.74177603,-74.00149746,46336,651.758503108,60,21359,497.0,46771,664.652370058,60,21136,517.0,In Service,39
119,Park Ave & St Edwards St,40.69608941,-73.97803415,1856,780.196659483,60,18472,485.5,1670,834.111377246,60,21007,479.5,In Service,19
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,4895,1024.94994893,64,20882,739.0,4596,1003.35248042,64,20882,666.0,In Service,19
127,Barrow St & Hudson St,40.73172428,-74.00674436,58626,800.916402279,60,21585,640.0,59054,802.431012294,60,21518,641.0,In Service,31
128,MacDougal St & Prince St,40.72710258,-74.00297088,43424,803.887389462,60,20554,642.0,45850,785.051603053,60,21178,629.0,In Service,30
137,E 56 St & Madison Ave,40.761628,-73.972924,21384,931.616488964,62,21479,702.0,20995,875.756418195,60,21161,657.0,In Service,46
143,Clinton St & Joralemon St,40.69239502,-73.99337909,10103,945.692863506,61,21240,721.0,9974,1045.22107479,61,21240,755.5,In Service,24
144,Nassau St & Navy St,40.69839895,-73.98068914,4947,1200.16494845,62,21286,1041.0,4995,1184.91311311,62,13913,1073.0,In Service,19
146,Hudson St & Reade St,40.71625008,-74.0091059,22587,805.317306415,60,20002,585.0,22316,779.247176913,60,20546,562.0,In Service,39
147,Greenwich St & Warren St,40.71542197,-74.01121978,45699,871.246373006,60,21208,657.0,47793,860.283639864,60,20863,666.0,In Service,33
